# generation power_min power_avg power_max util_min util_avg util_max
8800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
8900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
9900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
10900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
11900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
12900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
13900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14200 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14300 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14400 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14500 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14600 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14700 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14800 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
14900 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15000 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
15100 2.246796 2.246796 2.246796 -3.207319 -3.207319 -3.207319
